cloud
1 4 a D D D b O O O g O O O c O O O 0 | 2b 4d 2a | Bi 0.25 B 0.5 Ru 0.25
1 2 a D D O c O O O 0 | 4i 2a | Ho 0.33 Ga 0.44 Pt 0.22
0 3 a O D D b O O O j O O O 0 | 2a 2b | Co 0.5 Cu 0.25 As 0.25
1 2 a D D O c O O O 0 | 4i 2b 2a | Pm 0.58 Er 0.33 Sc 0.08
1 3 b O O O g O O O c O O O 0 | 1b 1a 2h 2f | Sr 0.17 Mg 0.17 In 0.33 Rh 0.33
1 2 n O O O e O O O 0 | 2d 1a 1b 6i | Rb 0.21 La 0.07 Sb 0.14 O 0.57
1 4 a D D D b O O O g O O O c O O O 0 | 4e 2a 8g | Ce 0.29 Dy 0.14 Au 0.57
1 3 a D D D b O O O g O O O 0 | 16i 4d 2a 8h | La 0.67 Er 0.07 Tm 0.27
0 3 a D D D b O O O j O O O 0 | 2a 2b | Zr 0.5 Sb 0.25 Te 0.25
1 3 a D D D b O O O c O O O 0 | 8l 8m 8n 4g 4j 2a 2c | Dy 0.22 Lu 0.44 Co 0.28 Sn 0.06
1 4 b O O O c O O O d O O O e O O O 0 | 3d 1a 1b | Nb 0.6 Cd 0.2 Pt 0.2
1 2 a E C C n O O O 0 | 18f 3a | Ti 0.32 Mn 0.05 Pd 0.63
0 3 n O O O i O O O k O O O 0 | 1b 1e | K 0.5 Ba 0.5
1 1 c O O O 0 | 1f 1e 2m | Hg 0.25 B 0.25 Pd 0.5
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4a 4b 8c | Sm 0.25 Mg 0.25 Be 0.5
1 4 b O O O c O O O d O O O e O O O 0 | 3d 1a 1b | Cs 0.6 Ti 0.2 N 0.2
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4d 4b 4a | Zn 0.33 Pt 0.33 Pb 0.33
0 3 a E C C n O O O k O O O 0 | 3a | U 0.5 Sb 0.25 C 0.25
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 8c 4a 4b | Tb 0.5 Ta 0.25 Al 0.25
0 3 n O O O i O O O e O O O 0 | 3f 1b 3g 2c | Mg 0.44 Ir 0.33 Se 0.22
1 3 a E C C n O O O e O O O 0 | 6c 3a 3b | Si 0.5 Re 0.25 Ge 0.25
1 2 b D O D c O D D 0 | 8c | H 0.38 C 0.18 N 0.05 Cl 0.08 O 0.31
0 4 a D D D b O O O m O O O c D O F 0 | 4a 8d 4b | Re 0.25 Sn 0.5 Se 0.25
1 4 a D D D b O O O g O O O c O O O 0 | 4e 4c 2a | Y 0.57 In 0.29 Ru 0.14
0 3 a O D D b O O O j O O O 0 | 2b 2a | Na 0.25 Zn 0.25 As 0.25 F 0.25
1 2 n O O O f O O D 0 | 2c 2b 2d 12i | Tl 0.11 Bi 0.11 Ru 0.11 O 0.67
1 3 a D D O b O O D c O O D 0 | 8e 4c 8f 8g | Eu 0.38 Pb 0.62
0 1 j O O O 0 | 1a 1b | Dy 0.15 Er 0.25 V 0.05 Os 0.15 C 0.4
1 3 b O O O g O O O c O O O 0 | 2h 1d 2g 1a | Fe 0.5 Co 0.4 Ni 0.1
1 2 a D D O c O O O 0 | 2a 4h 4g 2d 8j 4i | Sm 0.08 Y 0.25 Dy 0.17 P 0.5
1 3 a D D D b O O O g O O O 0 | 2b 4d 8h | Tl 0.14 Ge 0.29 I 0.57
0 3 a O D D b O O O j O O O 0 | 2b 2a | Mn 0.25 Os 0.5 Ru 0.25
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4b 4a 8c | Mn 0.25 Al 0.25 W 0.5
0 3 a D D O b O O O c O O O 0 | 4k 2d 2b 2c 2a 8l | Cs 0.2 Mg 0.3 Ti 0.1 As 0.4
1 2 a D D O c O O O 0 | 4i | K 0.4 Hg 0.4 Sb 0.2
1 3 b O O O g O O O c O O O 0 | 1d 2f 1b | Dy 0.25 Ga 0.5 Si 0.25
1 2 a D D O c O O D 0 | 8f 4e | Sr 0.4 Al 0.2 Ni 0.4
0 2 a D D O c O O O 0 | 2b 2a 4c | Cu 0.11 Sn 0.11 Hg 0.11 Cl 0.67
0 3 a D D O b O O D j O O D 0 | 4a | Ba 0.22 Nb 0.11 Tc 0.11 N 0.56
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4b 4a 8c | Ti 0.25 Al 0.25 Ru 0.5
1 2 b O O O c O O O 0 | 2t 1c 2q 2r 2s 1b 1e | Tb 0.18 As 0.09 Pd 0.64 Pt 0.09
1 3 b O O O g O O O c O O O 0 | 1a 2f 1b 1d | Nb 0.2 Cr 0.4 Fe 0.2 Pt 0.2
0 1 n O O O 0 | 3d 1b 1c 1a | Nd 0.26 Si 0.09 Ge 0.04 Se 0.61
0 4 a D D D b O O O g O O O j O O O 0 | 2a | Sm 0.33 Tm 0.33 Rh 0.33
